SCHL_ID,SCHOOL_CODE,SCHOOL_NAME,PROVINCE_CODE,PROVINCE_NAME,DISTRICT_CODE,DISTRICT_NAME,LLGV_CODE,LLGV_NAME,SECTOR_CODE
5196,69A37,NOBLET ELEMENTARY SCHOOL,69,NATIONAL CAPITAL DISTRICT,6901,NATIONAL CAPITAL DISTRICT,690102,MORESBY NORTH WEST,ELEM
5316,65A83,VUNAPOPE ELEMENTARY SCHOOL,65,EAST NEW BRITAIN PROVINCE,6502,KOKOPO,650208,KOKOPO/VUNAMAMI URBAN,ELEM
5422,55A20,SUIN TUNANA ELEMENTARY SCHOOL,55,NORTHERN PROVINCE,5502,SOHE,550206,HIGATURU RURAL,ELEM
5452,65A47,KEBARU ELEMENTARY SCHOOL,65,EAST NEW BRITAIN PROVINCE,6503,POMIO,650310,CENRTAL/ INLAND POMIO RURAL,ELEM
8810,70082,KAIRIK SDA PRIMARY SCHOOL,70,ENGA PROVINCE,7003,LAGAIP/PORGERA,700309,POGERA RURAL,PRI
3663,62A11,SAKUR ELEMENTARY SCHOOL,62,MADANG PROVINCE,6205,SUMKAR,620514,SUMGILBAR RURAL,ELEM
8338,61A06,BIWAT ELEMENTARY SCHOOL,61,EAST SEPIK PROVINCE,6102,ANGORAM,610209,YUAT RURAL,ELEM
5519,66038,NEIKONOMON COMMUNITY SCHOOL,66,NEW IRELAND PROVINCE,6601,KAVIENG,660102,LOVONGAI RURAL,PRI
6314,53B10,GALOMARUBU ELEMENTARY SCHOOL,53,CENTRAL PROVINCE,5304,RIGO,530412,RIGO COASTAL RURAL,ELEM
5531,65A54,KAVAVAR ELEMENTARY SCHOOL,65,EAST NEW BRITAIN PROVINCE,6501,GAZELLE,650104,LIVUAN/REIMBER RURAL,ELEM
3691,62B10,MAPOR ELEMENTARY SCHOOL,62,MADANG PROVINCE,6205,SUMKAR,620513,KARKAR RURAL,ELEM
3692,63C28,ZONGEFIFI ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6309,TEWAI / SIASSI,630926,SIALUM RURAL,ELEM
2859,64B07,AVIKLO ELEMENTARY SCHOOL,64,WEST NEW BRITAIN PROVINCE,6401,KANDRIAN/GLOUCESTER,640103,KANDRIAN COASTAL RURAL,ELEM
2770,57B22,KEKEANTU ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5704,KAINANTU,570406,KAINANTU URBAN,ELEM
2771,62017,MALE PRIMARY SCHOOL,62,MADANG PROVINCE,6204,RAI COAST,620410,ASTROLABE BAY RURAL,PRI
2774,71419,MOIAN COMMUNITY SCHOOL,71,KIUNGA LAKE MURRAY,7102,NORTH FLY,710206,KIUNGA RURAL,COM
2778,71200,ATKAMBA PRIMARY SCHOOL,71,KIUNGA LAKE MURRAY,7102,NORTH FLY,710206,KIUNGA RURAL,PRI
2779,57C30,ANONA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5704,KAINANTU,570405,KAINANTU RURAL,ELEM
2869,64473,TALEWAGA COMMUNITY SCHOOL,64,WEST NEW BRITAIN PROVINCE,6401,KANDRIAN/GLOUCESTER,640105,KOVE/KALIAI RURAL,PRI
2085,71A31,MINGALASABIP ELEMENTARY SCHOOL,71,KIUNGA LAKE MURRAY,7102,NORTH FLY,710210,STAR MOUNTAINS RURAL,ELEM
5569,66431,METERANKANG COMMUNITY SCHOOL,66,NEW IRELAND PROVINCE,6601,KAVIENG,660102,LOVONGAI RURAL,COM
3851,63B32,ILOKO ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6304,KABWUM,630416,SELEPET RURAL,ELEM
3855,62A44,OWOUR ELEMENTARY SCHOOL,62,MADANG PROVINCE,6206,USINO BUNDI,620616,USINO RURAL,ELEM
5373,65B30,GALUVE ELEMENTARY SCHOOL,65,EAST NEW BRITAIN PROVINCE,6503,POMIO,650310,CENRTAL/ INLAND POMIO RURAL,ELEM
5374,55B27,OMBISUSU ELEMENTARY SCHOOL,55,NORTHERN PROVINCE,5502,SOHE,550205,KOKODA RURAL,ELEM
4014,63A22,ESIANDA ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6302,FINSCHAFEN,630206,HUBE RURAL,ELEM
2000,60432,ST FRANCIS SEIM HAMTABA PRIMARY SCHOOL,60,SANDAUN PROVINCE,6002,NUKU,600208,NUKU RURAL,PRI
5635,66015,YARAKA MEMORIAL PRIMARY SCHOOL,66,NEW IRELAND PROVINCE,6601,KAVIENG,660103,TIKANA,PRI
5934,53A32,KWARE ELEMENTARY SCHOOL,53,CENTRAL PROVINCE,5304,RIGO,530411,RIGO CENTRAL RURAL,ELEM
3798,58B34,WARIO ELEMENTARY SCHOOL,58,SIMBU PROVINCE,5803,KARIMUI/NOMANE,580307,KARIMUI RURAL,ELEM
7249,66C40,LIVITUA ELEMENTARY SCHOOL,66,NEW IRELAND PROVINCE,6601,KAVIENG,660103,TIKANA,ELEM
7250,66C41,LAMUSMUS ELEMENTARY SCHOOL,66,NEW IRELAND PROVINCE,6601,KAVIENG,660103,TIKANA,ELEM
6800,66A55,VAIKEB ELEMENTARY SCHOOL,66,NEW IRELAND PROVINCE,6601,KAVIENG,660102,LOVONGAI RURAL,ELEM
6802,66A57,NGONGOLAVUI  ELEMENTARY SCHOOL,66,NEW IRELAND PROVINCE,6601,KAVIENG,660102,LOVONGAI RURAL,ELEM
7511,63A39,KAWALANG ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6308,NAWAE,630825,WAIN- ERAP RURAL,ELEM
6235,53A16,ABIARA ELEMENTARY SCHOOL,53,CENTRAL PROVINCE,5303,KAIRUKU/HIRI,530308,KAIRUKU RURAL,ELEM
5619,55A23,UWE/GIGORI ELEMENTARY SCHOOL,55,NORTHERN PROVINCE,5501,IJIVITARI,550102,CAPE NELSON RURAL,ELEM
6159,52A05,LESE KAVORA ELEMENTARY SCHOOL,52,GULF PROVINCE,5201,KEREMA,520102,EAST KEREMA RURAL,ELEM
9825,55A67,KIRA STATION ELEMENTARY SCHOOL,55,NORTHERN PROVINCE,5502,SOHE,550208,KIRA RURAL,ELEM
10839,63140,KAYAIRA PRIMARY SCHOOL,63,MOROBE PROVINCE,6303,HUON,630309,MOROBE RURAL,PRI
6404,63413,ST MARY'S PRIMARY SCHOOL,63,MOROBE PROVINCE,6305,LAE,630516,LAE URBAN,PRI
6407,63018,HUONVILLE PRIMARY SCHOOL,63,MOROBE PROVINCE,6305,LAE,630516,LAE URBAN,PRI
6419,63276,MOLMOL PRIMARY SCHOOL,63,MOROBE PROVINCE,6309,TEWAI / SIASSI,630927,SIASSI RURAL,PRI
6429,63090,YAKEPA PRIMARY SCHOOL,63,MOROBE PROVINCE,6307,MENYAMYA,630722,WAPI RURAL,PRI
6439,63051,TSEWI PRIMARY SCHOOL,63,MOROBE PROVINCE,6307,MENYAMYA,630721,KOME RURAL,PRI
6125,67B21,DA'AROVE ELEMENTARY SCHOOL,67,AUTONOMOUS REGION OF BOUGANVILLE,6702,CENTRAL BOUGAINVILLE,670208,ARAWA RURAL,ELEM
